<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TRUR;D;240307;000000;7.63;7.65;7.62;7.64;128579232
TRUR;D;240311;000000;7.67;7.7;7.66;7.7;181839760
TRUR;D;240312;000000;7.67;7.71;7.67;7.71;112548981
TRUR;D;240313;000000;7.68;7.7;7.67;7.68;115313378
TRUR;D;240314;000000;7.68;7.69;7.66;7.67;109433484
TRUR;D;240315;000000;7.67;7.69;7.66;7.69;106423166
TRUR;D;240318;000000;7.67;7.69;7.65;7.65;196584008
TRUR;D;240319;000000;7.64;7.67;7.64;7.65;123903489
TRUR;D;240320;000000;7.64;7.66;7.64;7.65;103461168
TRUR;D;240321;000000;7.68;7.7;7.65;7.66;111326802
TRUR;D;240322;000000;7.66;7.68;7.64;7.66;110456912
TRUR;D;240325;000000;7.64;7.7;7.64;7.7;157056502
TRUR;D;240326;000000;7.7;7.71;7.68;7.7;129698074
TRUR;D;240327;000000;7.69;7.71;7.68;7.7;98553879
TRUR;D;240328;000000;7.71;7.76;7.71;7.76;166337776
TRUR;D;240329;000000;7.77;7.79;7.76;7.79;133403713
TRUR;D;240401;000000;7.8;7.82;7.79;7.8;152817843
TRUR;D;240402;000000;7.81;7.81;7.79;7.8;116479896
TRUR;D;240403;000000;7.82;7.84;7.8;7.81;145632258
TRUR;D;240404;000000;7.83;7.84;7.8;7.81;105923275
TRUR;D;240405;000000;7.79;7.83;7.79;7.83;96605327
TRUR;D;240408;000000;7.85;7.89;7.85;7.88;181962647
TRUR;D;240409;000000;7.88;7.91;7.88;7.89;112853517
TRUR;D;240410;000000;7.9;7.92;7.9;7.92;101755646
TRUR;D;240411;000000;7.91;7.94;7.91;7.91;96070337
TRUR;D;240412;000000;7.98;8.01;7.97;8;106559672
TRUR;D;240415;000000;7.97;7.99;7.95;7.97;273211821
TRUR;D;240416;000000;7.98;8.02;7.98;8.01;100506751
TRUR;D;240417;000000;8.01;8.02;8.01;8.02;75100245
TRUR;D;240418;000000;8.01;8.02;7.97;8;108060462
TRUR;D;240419;000000;8.01;8.02;8;8.01;86010846
TRUR;D;240422;000000;7.99;8.01;7.95;7.96;158659384
TRUR;D;240423;000000;7.94;7.94;7.87;7.88;129590127
TRUR;D;240424;000000;7.88;7.89;7.86;7.87;113638103
TRUR;D;240425;000000;7.86;7.88;7.85;7.87;78966721
TRUR;D;240426;000000;7.87;7.91;7.87;7.87;89314435
TRUR;D;240427;000000;7.89;7.93;7.87;7.93;87889568
TRUR;D;240429;000000;7.92;7.96;7.92;7.96;105497177
TRUR;D;240430;000000;7.94;7.95;7.89;7.92;69074347
TRUR;D;240502;000000;7.92;7.93;7.8;7.82;171211390
TRUR;D;240503;000000;7.82;7.84;7.79;7.82;123660065
TRUR;D;240506;000000;7.86;7.9;7.81;7.83;176240959
TRUR;D;240507;000000;7.82;7.84;7.81;7.83;92083111
